,budget,original_language,release_date,revenue,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_revenue,real_profit
133,35000000.0,en,2018-06-27,75836683.0,122.0,Sicario: Day of the Soldado,"Action, Adventure, Crime, Drama, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",R,6.666666666666667,36073805.19061595,78163363.68127133,42089558.49065538
134,12000000.0,en,2012-03-01,100000000.0,88.0,Project X,Comedy,2012,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,6.033333333333333,13527060.811693683,112725506.76411404,99198445.95242035
135,34000000.0,en,2018-07-25,41142379.0,105.0,The Darkest Minds,"Action, Adventure, Drama, Romance, Sci-Fi, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",PG-13,5.533333333333333,35043125.04231264,42404633.28927111,7361508.246958472
138,62000000.0,en,2018-01-10,288175335.0,143.0,Maze Runner: The Death Cure,"Action, Adventure, Sci-Fi, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",PG-13,6.133333333333333,63902169.19480539,297016597.01515687,233114427.82035148
140,55000000.0,en,2018-01-17,368307760.0,105.0,Fifty Shades Freed,"Drama, Romance, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",R,4.7333333333333325,56687408.1566822,379607496.6980609,322920088.54137874
141,80000000.0,en,2002-05-24,122563539.0,83.0,Spirit: Stallion of the Cimarron,"Animation, Adventure, Drama, Family, Western",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",G,6.699999999999999,115091050.58365758,176324580.8345136,61233530.25085603
143,180000000.0,en,2013-07-11,407602906.0,131.0,Pacific Rim,"Action, Adventure, Sci-Fi",2013,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",PG-13,6.733333333333333,199976733.90368176,452839432.61960787,252862698.7159261
147,250000000.0,en,2014-12-10,956019788.0,144.0,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",PG-13,6.866666666666667,273311832.5898891,1045166081.0019093,771854248.4120202
148,20000000.0,en,2008-10-03,149281606.0,91.0,Beverly Hills Chihuahua,"Adventure, Comedy, Drama, Family, Romance",2008,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",PG,4.3999999999999995,24041560.033998597,179448134.63103625,155406574.59703764
151,125000000.0,en,2014-03-07,362637473.0,138.0,Noah,"Action, Adventure, Drama",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",PG-13,6.033333333333333,136655916.29494455,396452449.2455858,259796532.95064124
154,59000000.0,en,2002-03-10,383257136.0,81.0,Ice Age,"Animation, Adventure, Comedy, Family, Fantasy",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",PG,6.933333333333334,84879649.80544746,551368330.3240466,466488680.51859915
