adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://newsite.theroyal.to/movies/blood-in-the-snow-film-festival-bits-short-film-showcase/,488282,tt5491670,en,Letters,"Something dark boils below the surface of a game of Letters, setting off a series of unexpected events, forever changing a marriage.",0.6,/3ysw5E5YbkjLyJYSDQExSKAWId0.jpg,[],[],2017-11-25,0,8.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Wordplay is a dangerous game.,Letters,False,0.0,0,,,,
False,,,0,[],,488315,tt7657480,en,Sirocco,A family dinner gone wrong.,0.6,/nNgGkqKItCCu7ep2kyAJWtaIk3s.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2017-10-18,0,5.0,[],Released,"animated, short",Sirocco,False,0.0,0,,,,
False,,,0,"[{'id': 16, 'name': 'Animation'}]",,488319,tt6159702,en,Scent of Geranium,"Immigration is a new chapter in one's life, a chapter with unexpected events that can take one's life down paths different from the one imagined. This film is an autobiographical account of the director's experience with immigration.",0.84,/6CWa6MfYwIBkrS0cXloK2uDmBRr.jpg,"[{'id': 97628, 'logo_path': None, 'name': 'Rochester Institute of Technology', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-11-14,0,5.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"animated, short",Scent of Geranium,False,0.0,0,,,,
False,,,0,[],,488322,tt7434234,en,I'm Not Alone!,"A person is taking selfies in the process of creating a new personal account on a social network, but something unexpected happens to him.",0.6,/xCMCZKjzoHWOBORLopcxuBxqxma.jpg,"[{'id': 97629, 'logo_path': None, 'name': 'Tarbiat Modares University', 'origin_country': ''}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",2017-10-19,0,3.0,[],Released,"animated, short",I'm Not Alone!,False,0.0,0,,,,
False,,,0,"[{'id': 16, 'name': 'Animation'}]",,488328,tt6991954,en,The Ape Man,"A pudgy little man lives a lonely life on the top floor of a skyscraper. One day, when he hears the aggressive rants of his neighbour, he looks for the Tarzan inside to rescue his nextdoor Jane.",0.6,/8tEyPVxTb06yC336W8btElRJk2m.jpg,[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}]",2017-10-19,0,11.0,[],Released,"animated, short",The Ape Man,False,0.0,0,,,,
False,,,0,[],,488329,tt7608964,en,South Forest,The story about a Palestinian girl who feeds animals at the zoo.,0.6,,"[{'id': 53391, 'logo_path': '/7aPeLmQjH1EFhqAXWLyyxZ535QA.png', 'name': 'Tokyo University of the Arts', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2017-10-19,0,7.0,[],Released,"animated, short",South Forest,False,0.0,0,,,,
False,/u0yT7WCGzrwTnfU3bejOWibXSbH.jpg,,0,"[{'id': 27, 'name': 'Horror'}]",,488342,tt5283288,en,Scarecrows,"Teenagers are kidnapped and made into scarecrows, that are left to die in the crop fields.",9.587,/4DaR9xjA8wJ6pl1q58m1QFSIb0a.jpg,"[{'id': 98203, 'logo_path': None, 'name': '5’7 Films', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2017-11-22,0,80.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It was supposed to be the summer of their dreams,Scarecrows,False,5.3,14,,,,
False,/z8wQmikxNuSlZCzBMevGdXrNxEY.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",http://brainpowerstudio.com/project/best-friend-from-heaven/,488343,tt6744422,en,Best Friend from Heaven,"When a tragic accident takes the life of her dog, Tara is forced to cancel her wedding.  With a little help from above, their small town rallies together to make sure these two are able to have the wedding of their dreams.",6.086,/yA4TfCd72adffkGIpcmOdZf8rh4.jpg,"[{'id': 97346, 'logo_path': '/j2dUaHFYU5Jo5NJrbiD0g0R5DIh.png', 'name': 'Brain Power Studio', 'origin_country': 'CA'}, {'id': 97638, 'logo_path': None, 'name': 'Best Friend Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2017-11-29,0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"It will take a miracle for them to say, ""I do!""",Best Friend from Heaven,False,2.0,2,,,,
False,,,0,[],,488358,tt0441791,en,Sharkskin 6,The crew of a con-man organizes a slick plan to scam a famous game show host. As the body count rises so do their chances of being caught. Then the con-man's son arrives and things REALLY get sticky.,0.6,/dH1t1NAtWC5ZOJ1doLAXKDCZj5f.jpg,[],[],2005-01-10,0,100.0,[],Released,They make the Sopranos look like choir boys.,Sharkskin 6,False,0.0,0,,,,
False,/aUwSzy3tjcMm6RoB9MSM1xYCQs9.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,488366,tt5288646,en,6:66 PM,A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.,7.439,/gmvPAQf8WgW9KMDvtAmkk1v5IQE.jpg,"[{'id': 85812, 'logo_path': None, 'name': 'Full Auto Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-11-04,0,82.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Evil has an hour to kill.,6:66 PM,False,4.8,4,,,,
