,original_language,release_date,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_profit
157,en,2015-06-25,115.0,Ted 2,Comedy,2015,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,5.800000000000001,72042410.4600092,156653685.2286629
158,en,2017-10-13,109.0,Geostorm,"Action, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",PG-13,4.466666666666667,122930972.58485639,104081720.69647521
161,en,2015-09-09,131.0,Maze Runner: The Scorch Trials,"Action, Adventure, Sci-Fi, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG-13,5.766666666666667,64626279.97147884,266234906.0784332
163,en,2017-04-19,137.0,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",PG-13,7.3,204884954.308094,679968140.9042795
164,en,2018-03-05,118.0,Tomb Raider,"Action, Adventure, Fantasy, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",PG-13,5.800000000000001,94000000.0,180650803.0
165,en,1999-10-30,92.0,Toy Story 2,"Animation, Adventure, Comedy, Family, Fantasy",1999,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",G,8.1,135652040.81632653,614001634.8978572
166,en,2008-04-30,126.0,Iron Man,"Action, Adventure, Sci-Fi",2008,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",PG-13,7.8,163281421.99597776,519204857.1722363
167,en,2017-10-04,164.0,Blade Runner 2049,"Action, Drama, Mystery, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",R,7.866666666666666,153663715.7310705,111907811.68980905
168,en,2018-07-13,147.0,Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",PG-13,7.9,178000000.0,613017452.0
169,en,2018-12-06,117.0,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Family, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",PG,8.5,90000000.0,285540830.99999994
