date,Passengers,Trolls,Jim: The James Foley Story,Pearl,Piper,Silent Nights,Sing,Timecode,Deepwater Horizon,Sully,Rogue One: A Star Wars Story,13 Hours: The Secret Soldiers of Benghazi,Doctor Strange,The Jungle Book,20th Century Women,Call Me by Your Name,Phantom Thread,Get Out,Darkest Hour,The Florida Project,The Shape of Water,All the Money in the World,Lady Bird,The Post,Mudbound,The Boss Baby,The Breadwinner,Coco,Ferdinand,Loving Vincent,Blade Runner 2049,Dunkirk,Beauty and the Beast,Victoria & Abdul,Abacus: Small Enough to Jail,Faces Places,Icarus,Strong Island,Edith+Eddie,Heroin(e),Knife Skills,Traffic Stop,Baby Driver,A Fantastic Woman,The Insult,Loveless,On Body and Soul
2016-10-16,,10.0,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-17,,8.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,,7.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-19,,8.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-20,,8.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-21,,8.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-22,,14.0,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-23,,13.0,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,,13.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-25,,10.0,,,,,,,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26,,9.0,,,,,,,6.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-27,,11.0,,,,,,,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-28,,12.0,,,,,,,12.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-29,,19.0,,,,,,,20.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-30,,20.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,,13.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,16.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-02,,18.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-03,,24.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-04,,53.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
